Rk,Name,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,Lng.1,R/G,Y/G.1,YScm,RRTD,Fmb
1,Adrian ,MIN,30.0,RB,16,16,327,1485,11,80,4.5,92.8,20.4,36.0,30.0,222.0,7.4,0.0,49.0,1.9,13.9,1707,11,7
2,Dou,TAM,26.0,RB,16,16,288,1402,6,84,4.9,87.6,18.0,44.0,33.0,271.0,8.2,1.0,25.0,2.1,16.9,1673,7,5
3,Latavi,OAK,25.0,RB,16,16,266,1066,6,54,4.0,66.6,16.6,53.0,41.0,232.0,5.7,0.0,23.0,2.6,14.5,1298,6,4
4,Devont,ATL,23.0,RB,15,13,265,1056,11,39,4.0,70.4,17.7,97.0,73.0,578.0,7.9,3.0,44.0,4.9,38.5,1634,14,3
5,F,IND,32.0,RB,16,16,260,967,6,37,3.7,60.4,16.3,58.0,34.0,267.0,7.9,1.0,34.0,2.1,16.7,1234,7,4
6,Ch,NYJ,27.0,RB,15,14,247,1070,7,58,4.3,71.3,16.5,37.0,30.0,217.0,7.2,1.0,36.0,2.0,14.5,1287,8,4
7,Jonatha,CAR,28.0,RB,13,13,242,989,6,44,4.1,76.1,18.6,21.0,16.0,99.0,6.2,1.0,15.0,1.2,7.6,1088,7,3
8,Darren,DAL,28.0,RB,16,10,239,1089,3,50,4.6,68.1,14.9,53.0,40.0,328.0,8.2,0.0,21.0,2.5,20.5,1417,3,3
9,To,STL,21.0,RB,13,12,229,1106,10,71,4.8,85.1,17.6,26.0,21.0,188.0,9.0,0.0,31.0,1.6,14.5,1294,10,3
10,Je,CIN,23.0,RB,16,15,223,794,11,38,3.6,49.6,13.9,19.0,15.0,79.0,5.3,1.0,14.0,0.9,4.9,873,12,3
11,M,CHI,30.0,RB,13,13,218,898,4,27,4.1,69.1,16.8,58.0,44.0,389.0,8.8,3.0,38.0,3.4,29.9,1287,7,2
12,Ronni,DEN,24.0,RB,16,11,207,863,7,72,4.2,53.9,12.9,35.0,24.0,111.0,4.6,0.0,14.0,1.5,6.9,974,7,3
13,LeS,BUF,27.0,RB,12,12,203,895,3,48,4.4,74.6,16.9,50.0,32.0,292.0,9.1,2.0,22.0,2.7,24.3,1187,5,2
14,Alfr,WAS,27.0,RB,16,16,202,751,1,48,3.7,46.9,12.6,13.0,10.0,55.0,5.5,0.0,12.0,0.6,3.4,806,1,0
15,DeAngelo,PIT,32.0,RB,16,10,200,907,11,55,4.5,56.7,12.5,47.0,40.0,367.0,9.2,0.0,34.0,2.5,22.9,1274,11,4
16,Chri,ARI,30.0,RB,11,9,196,814,3,62,4.2,74.0,17.8,13.0,6.0,58.0,9.7,0.0,40.0,0.5,5.3,872,3,2
17,Rashad,NYG,30.0,RB,16,16,195,863,3,38,4.4,53.9,12.2,40.0,29.0,296.0,10.2,1.0,51.0,1.8,18.5,1159,4,2
18,Lam,MIA,24.0,RB,16,16,194,872,8,85,4.5,54.5,12.1,57.0,47.0,397.0,8.4,2.0,54.0,2.9,24.8,1269,10,1
19,DeMar,PHI,27.0,RB,15,8,193,702,6,54,3.6,46.8,12.9,55.0,44.0,322.0,7.3,1.0,44.0,2.9,21.5,1024,7,2
20,E,GNB,25.0,RB,15,12,187,758,3,29,4.1,50.5,12.5,28.0,20.0,188.0,9.4,2.0,28.0,1.3,12.5,946,5,4
21,Isaia,CLE,22.0,RB,16,9,185,706,4,54,3.8,44.1,11.6,22.0,19.0,182.0,9.6,1.0,53.0,1.2,11.4,888,5,0
22,Melv,SDG,22.0,RB,14,13,184,641,0,27,3.5,45.8,13.1,37.0,33.0,192.0,5.8,0.0,18.0,2.4,13.7,833,0,6
23,Al,HOU,24.0,RB,15,9,183,698,2,41,3.8,46.5,12.2,16.0,15.0,109.0,7.3,1.0,21.0,1.0,7.3,807,3,2
24,T.,JAX,22.0,RB,12,12,182,740,2,45,4.1,61.7,15.2,46.0,36.0,279.0,7.8,1.0,67.0,3.0,23.3,1019,3,0
25,Ma,NOR,26.0,RB,12,10,166,769,6,70,4.6,64.1,13.8,60.0,50.0,405.0,8.1,0.0,59.0,4.2,33.8,1174,6,2
26,LeGarret,NWE,29.0,rb,12,6,165,703,6,38,4.3,58.6,13.8,7.0,6.0,43.0,7.2,1.0,14.0,0.5,3.6,746,7,1
27,Charcand,KAN,24.0,RB,15,9,160,634,4,38,4.0,42.3,10.7,34.0,20.0,214.0,10.7,1.0,80.0,1.3,14.3,848,5,1
28,Giovan,CIN,24.0,rb,16,1,154,730,2,28,4.7,45.6,9.6,66.0,49.0,472.0,9.6,0.0,45.0,3.1,29.5,1202,2,1
29,C.J.,DEN,24.0,rb,15,5,152,720,5,48,4.7,48.0,10.1,36.0,25.0,183.0,7.3,0.0,27.0,1.7,12.2,903,5,2
30,Justi,BAL,30.0,RB,10,10,151,641,2,33,4.2,64.1,15.1,41.0,31.0,153.0,4.9,0.0,32.0,3.1,15.3,794,2,0
31,Jeremy,CHI,24.0,rb,16,2,148,537,6,23,3.6,33.6,9.3,42.0,22.0,279.0,12.7,1.0,83.0,1.4,17.4,816,7,0
32,Jam,GNB,29.0,rb,16,4,148,601,2,65,4.1,37.6,9.3,53.0,43.0,392.0,9.1,3.0,30.0,2.7,24.5,993,5,5
33,Tho,SEA,22.0,rb,13,7,147,830,4,69,5.6,63.8,11.3,11.0,9.0,76.0,8.4,1.0,31.0,0.7,5.8,906,5,1
34,M,WAS,22.0,,13,0,144,490,3,39,3.4,37.7,11.1,25.0,19.0,304.0,16.0,1.0,78.0,1.5,23.4,794,4,5
35,Ameer,DET,22.0,RB,16,9,143,597,2,36,4.2,37.3,8.9,38.0,25.0,183.0,7.3,1.0,36.0,1.6,11.4,780,3,5
36,Antoni,TEN,24.0,RB,14,10,143,520,3,38,3.6,37.1,10.2,29.0,21.0,174.0,8.3,0.0,23.0,1.5,12.4,694,3,1
37,Javor,BAL,24.0,rb,16,6,137,514,1,44,3.8,32.1,8.6,62.0,45.0,353.0,7.8,2.0,41.0,2.8,22.1,867,3,2
38,Ca,CAR,26.0,QB,16,16,132,636,10,47,4.8,39.8,8.3,,,,,,,,,636,10,5
39,Davi,ARI,24.0,rb,16,5,125,581,8,47,4.6,36.3,7.8,57.0,36.0,457.0,12.7,4.0,55.0,2.3,28.6,1038,12,4
40,Ca,SFO,24.0,rb,7,7,115,470,3,22,4.1,67.1,16.4,15.0,11.0,53.0,4.8,0.0,11.0,1.6,7.6,523,3,1
41,Le',PIT,23.0,rb,6,6,113,556,3,42,4.9,92.7,18.8,26.0,24.0,136.0,5.7,0.0,20.0,4.0,22.7,692,3,0
42,Marsh,SEA,29.0,rb,7,6,111,417,3,24,3.8,59.6,15.9,21.0,13.0,80.0,6.2,0.0,19.0,1.9,11.4,497,3,0
43,Rya,PHI,28.0,rb,13,6,107,539,6,63,5.0,41.5,8.2,28.0,20.0,146.0,7.3,1.0,23.0,1.5,11.2,685,7,3
44,Cha,TAM,25.0,,16,0,107,529,0,59,4.9,33.1,6.7,70.0,51.0,561.0,11.0,4.0,56.0,3.2,35.1,1090,4,2
45,Duk,CLE,22.0,rb,16,7,104,379,0,39,3.6,23.7,6.5,74.0,61.0,534.0,8.8,2.0,52.0,3.8,33.4,913,2,1
46,Tyr,BUF,26.0,QB/wr,14,14,104,568,4,31,5.5,40.6,7.4,1.0,1.0,4.0,4.0,0.0,4.0,0.1,0.3,572,4,9
47,Russe,SEA,27.0,QB,16,16,103,553,1,24,5.4,34.6,6.4,,,,,,,,,553,1,7
48,C,HOU,26.0,rb,15,2,99,334,1,20,3.4,22.3,6.6,28.0,16.0,109.0,6.8,1.0,12.0,1.1,7.3,443,2,0
49,Danny,SDG,30.0,rb,16,1,98,336,3,27,3.4,21.0,6.1,106.0,80.0,755.0,9.4,6.0,61.0,5.0,47.2,1091,9,0
50,Tim ,NOR,29.0,rb,8,3,96,375,4,26,3.9,46.9,12.0,13.0,12.0,129.0,10.8,0.0,27.0,1.5,16.1,504,4,0
51,Karlos,BUF,22.0,fb/rb,11,3,93,517,7,41,5.6,47.0,8.5,14.0,11.0,96.0,8.7,2.0,26.0,1.0,8.7,613,9,2
52,Jo,DET,29.0,rb,13,5,90,311,4,36,3.5,23.9,6.9,27.0,22.0,286.0,13.0,0.0,39.0,1.7,22.0,597,4,1
53,Andre,NYG,23.0,,16,0,88,257,1,35,2.9,16.1,5.5,3.0,1.0,7.0,7.0,0.0,7.0,0.1,0.4,264,1,0
54,Tevi,ATL,22.0,rb,12,3,87,392,1,46,4.5,32.7,7.3,11.0,2.0,14.0,7.0,0.0,10.0,0.2,1.2,406,1,3
55,A,KAN,31.0,QB,16,16,84,498,2,49,5.9,31.1,5.3,,,,,,,,,498,2,4
56,Darre,PHI,32.0,rb/wr,16,4,83,317,3,27,3.8,19.8,5.2,83.0,55.0,388.0,7.1,1.0,35.0,3.4,24.3,705,4,1
57,Shau,2TM,28.0,,11,6,78,273,1,30,3.5,24.8,7.1,35.0,27.0,176.0,6.5,0.0,26.0,2.5,16.0,449,1,1
58,Jose,DAL,24.0,rb,6,6,76,313,4,37,4.1,52.2,12.7,10.0,10.0,87.0,8.7,0.0,25.0,1.7,14.5,400,4,1
59,,STL,22.0,rb,13,3,75,207,1,15,2.8,15.9,5.8,25.0,18.0,88.0,4.9,0.0,16.0,1.4,6.8,295,1,3
60,Spe,KAN,24.0,rb,11,2,72,403,6,52,5.6,36.6,6.5,6.0,6.0,5.0,0.8,0.0,5.0,0.5,0.5,408,6,0
61,Jamaa,KAN,29.0,rb,5,5,71,364,4,34,5.1,72.8,14.2,29.0,21.0,177.0,8.4,1.0,26.0,4.2,35.4,541,5,2
62,Bil,NYJ,27.0,fb/rb,11,2,70,313,1,24,4.5,28.5,6.4,63.0,47.0,388.0,8.3,2.0,25.0,4.3,35.3,701,3,2
63,Denard,JAX,25.0,rb,13,3,67,266,1,31,4.0,20.5,5.2,30.0,21.0,164.0,7.8,0.0,16.0,1.6,12.6,430,1,3
64,Brand,NWE,25.0,rb,15,2,63,207,0,14,3.3,13.8,4.2,30.0,19.0,180.0,9.5,2.0,63.0,1.3,12.0,387,2,0
65,Ari,HOU,29.0,rb,4,4,63,163,1,16,2.6,40.8,15.8,28.0,22.0,227.0,10.3,2.0,32.0,5.5,56.8,390,3,2
66,Mike,CAR,30.0,fb/rb,16,3,62,256,1,29,4.1,16.0,3.9,23.0,18.0,154.0,8.6,3.0,40.0,1.1,9.6,410,4,0
67,Terr,2TM,24.0,,8,0,62,231,0,17,3.7,28.9,7.8,5.0,4.0,21.0,5.3,0.0,8.0,0.5,2.6,252,0,2
68,Sha,NYG,26.0,,16,0,61,260,0,39,4.3,16.3,3.8,81.0,59.0,495.0,8.4,4.0,37.0,3.7,30.9,755,4,1
69,Ryan Fi,NYJ,33.0,QB,16,16,60,270,2,19,4.5,16.9,3.8,,,,,,,,,270,2,5
70,Don,SDG,28.0,rb,9,2,59,229,1,53,3.9,25.4,6.6,13.0,8.0,88.0,11.0,0.0,31.0,0.9,9.8,317,1,1
71,Aaro,GNB,32.0,QB,16,16,58,344,1,18,5.9,21.5,3.6,,,,,,,,,344,1,8
72,An,CIN,28.0,QB,13,13,57,142,3,12,2.5,10.9,4.4,,,,,,,,,142,3,5
73,Jonath,HOU,26.0,,14,0,56,282,1,37,5.0,20.1,4.0,31.0,26.0,173.0,6.7,1.0,19.0,1.9,12.4,455,2,0
74,Khiry,NOR,26.0,,8,0,56,180,4,14,3.2,22.5,7.0,20.0,17.0,115.0,6.8,0.0,22.0,2.1,14.4,295,4,0
75,Dexter ,TEN,27.0,rb,11,2,55,247,1,44,4.5,22.5,5.0,41.0,31.0,260.0,8.4,1.0,35.0,2.8,23.6,507,2,2
76,Christin,2TM,25.0,,8,2,54,243,0,45,4.5,30.4,6.8,6.0,3.0,16.0,5.3,0.0,11.0,0.4,2.0,259,0,0
77,Jamei,TAM,21.0,QB,16,16,53,210,6,21,4.0,13.1,3.3,,,,,,,,,210,6,6
78,Tav,STL,24.0,WR,16,14,52,434,4,60,8.3,27.1,3.3,87.0,52.0,473.0,9.1,5.0,66.0,3.3,29.6,907,9,2
79,Blak,JAX,23.0,QB,16,16,52,310,2,28,6.0,19.4,3.3,,,,,,,,,310,2,14
80,D,TEN,22.0,rb,7,1,52,146,1,12,2.8,20.9,7.4,2.0,1.0,-2.0,-2.0,0.0,-2.0,0.1,-0.3,144,1,0
81,Jerick,MIN,23.0,,16,0,52,271,2,68,5.2,16.9,3.3,29.0,21.0,173.0,8.2,1.0,30.0,1.3,10.8,444,3,0
82,Robe,2TM,26.0,,10,0,50,199,1,22,4.0,19.9,5.0,10.0,7.0,23.0,3.3,0.0,15.0,0.7,2.3,222,1,0
83,,MIA,22.0,,9,0,49,187,1,24,3.8,20.8,5.4,11.0,7.0,90.0,12.9,0.0,20.0,0.8,10.0,277,1,0
84,D,NWE,25.0,rb,7,6,49,234,2,13,4.8,33.4,7.0,50.0,36.0,388.0,10.8,2.0,40.0,5.1,55.4,622,4,2
85,DuJu,2TM,27.0,,4,1,48,189,0,47,3.9,47.3,12.0,14.0,9.0,97.0,10.8,0.0,31.0,2.3,24.3,286,0,1
86,Mike ,BUF,25.0,rb,5,1,47,267,3,60,5.7,53.4,9.4,7.0,6.0,29.0,4.8,0.0,14.0,1.2,5.8,296,3,1
87,Bish,TEN,23.0,rb,13,3,47,193,1,16,4.1,14.8,3.6,22.0,14.0,139.0,9.9,1.0,30.0,1.1,10.7,332,2,2
88,Cameron Ar,CAR,25.0,,7,0,45,183,1,31,4.1,26.1,6.4,5.0,5.0,58.0,11.6,0.0,20.0,0.7,8.3,241,1,0
89,Andre ,ARI,26.0,db/rb,10,3,45,289,3,63,6.4,28.9,4.5,24.0,15.0,148.0,9.9,0.0,32.0,1.5,14.8,437,3,1
90,J,2TM,25.0,,8,0,45,176,0,23,3.9,22.0,5.6,8.0,7.0,76.0,10.9,0.0,25.0,0.9,9.5,252,0,0
91,Colin K,SFO,28.0,QB,9,8,45,256,1,15,5.7,28.4,5.0,,,,,,,,,256,1,5
92,Teddy Br,MIN,23.0,QB,16,16,44,192,3,19,4.4,12.0,2.8,,,,,,,,,192,3,8
93,Matthew,DET,27.0,QB,16,16,44,159,1,18,3.6,9.9,2.8,1.0,1.0,-6.0,-6.0,0.0,-6.0,0.1,-0.4,153,1,4
94,Ka'D,CHI,23.0,rb,10,1,43,159,2,11,3.7,15.9,4.3,3.0,3.0,19.0,6.3,1.0,11.0,0.3,1.9,178,3,1
95,The,DET,24.0,rb,16,1,43,133,0,16,3.1,8.3,2.7,99.0,80.0,697.0,8.7,3.0,34.0,5.0,43.6,830,3,1
96,J,CHI,32.0,QB,15,15,38,201,1,26,5.3,13.4,2.5,,,,,,,,,201,1,8
97,Benny C,STL,25.0,rb,16,1,37,140,0,40,3.8,8.8,2.3,36.0,26.0,250.0,9.6,0.0,42.0,1.6,15.6,390,0,1
98,Johnn,CLE,23.0,qb,10,6,37,230,0,34,6.2,23.0,3.7,,,,,,,,,230,0,6
99,,ATL,30.0,QB,16,16,37,63,0,18,1.7,3.9,2.3,,,,,,,,,63,0,12
100,Orlea,NYG,23.0,,16,0,36,153,1,17,4.3,9.6,2.3,5.0,3.0,31.0,10.3,0.0,15.0,0.2,1.9,184,1,0
101,Stev,NYJ,26.0,rb,9,1,36,90,0,13,2.5,10.0,4.0,5.0,4.0,-2.0,-0.5,0.0,3.0,0.4,-0.2,88,0,0
102,C.J,NOR,28.0,rb,13,2,36,112,0,11,3.1,8.6,2.8,44.0,34.0,239.0,7.0,2.0,80.0,2.6,18.4,351,2,1
103,M,SFO,22.0,,6,0,35,58,0,13,1.7,9.7,5.8,13.0,7.0,38.0,5.4,0.0,11.0,1.2,6.3,96,0,0
104,Chris,WAS,25.0,,13,0,35,216,0,42,6.2,16.6,2.7,48.0,35.0,240.0,6.9,2.0,23.0,2.7,18.5,456,2,2
105,,NWE,38.0,QB,16,16,34,53,3,13,1.6,3.3,2.1,1.0,1.0,36.0,36.0,0.0,36.0,0.1,2.3,89,3,6
106,Marcu,TEN,22.0,QB,12,12,34,252,2,87,7.4,21.0,2.8,1.0,1.0,41.0,41.0,1.0,41.0,0.1,3.4,293,3,10
107,D,OAK,24.0,QB,16,16,33,138,0,24,4.2,8.6,2.1,,,,,,,,,138,0,10
108,An,IND,26.0,qb,7,7,33,196,0,25,5.9,28.0,4.7,,,,,,,,,196,0,3
109,Blain,SFO,26.0,QB,8,8,32,185,1,44,5.8,23.1,4.0,,,,,,,,,185,1,4
110,Ryan ,MIA,27.0,QB,16,16,32,141,1,28,4.4,8.8,2.0,1.0,1.0,9.0,9.0,0.0,9.0,0.1,0.6,150,1,10
111,Ahmad,IND,29.0,,6,0,31,85,0,23,2.7,14.2,5.2,14.0,10.0,64.0,6.4,3.0,10.0,1.7,10.7,149,3,0
112,Brand,SDG,24.0,rb,8,1,31,108,0,15,3.5,13.5,3.9,15.0,13.0,112.0,8.6,0.0,17.0,1.6,14.0,220,0,0
113,,NYJ,24.0,,8,0,31,89,1,18,2.9,11.1,3.9,12.0,9.0,65.0,7.2,0.0,16.0,1.1,8.1,154,1,0
114,Ma,MIN,28.0,,16,0,29,112,0,19,3.9,7.0,1.8,22.0,19.0,132.0,6.9,0.0,22.0,1.2,8.3,244,0,0
115,Te,ATL,23.0,,13,0,29,95,1,13,3.3,7.3,2.2,13.0,9.0,73.0,8.1,0.0,18.0,0.7,5.6,168,1,0
116,Kenj,PHI,26.0,,11,0,28,124,0,19,4.4,11.3,2.5,12.0,9.0,22.0,2.4,0.0,12.0,0.8,2.0,146,0,1
117,Kn,KAN,24.0,,14,0,28,72,1,10,2.6,5.1,2.0,3.0,2.0,24.0,12.0,0.0,12.0,0.1,1.7,96,1,0
118,Kerwynn,ARI,24.0,,6,0,27,142,1,35,5.3,23.7,4.5,2.0,2.0,16.0,8.0,0.0,12.0,0.3,2.7,158,1,1
119,Sam,PHI,28.0,QB,14,14,26,39,0,14,1.5,2.8,1.9,,,,,,,,,39,0,10
120,Kir,WAS,27.0,QB,16,16,26,48,5,13,1.8,3.0,1.6,,,,,,,,,48,5,9
121,Fre,SEA,34.0,,16,0,26,100,0,16,3.8,6.3,1.6,41.0,32.0,257.0,8.0,2.0,26.0,2.0,16.1,357,2,1
122,Br,SEA,24.0,,3,0,25,72,1,18,2.9,24.0,8.3,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,72,1,0
123,D,2TM,26.0,,10,0,25,79,0,8,3.2,7.9,2.5,10.0,9.0,47.0,5.2,0.0,9.0,0.9,4.7,126,0,1
124,Cars,ARI,36.0,QB,16,16,25,24,1,12,1.0,1.5,1.6,,,,,,,,,24,1,6
125,Fozzy ,CAR,26.0,rb,15,1,25,108,1,16,4.3,7.2,1.7,15.0,12.0,64.0,5.3,0.0,15.0,0.8,4.3,172,1,0
126,D,NOR,36.0,QB,15,15,24,14,1,12,0.6,0.9,1.6,,,,,,,,,14,1,5
127,Jamiz,OAK,26.0,fb,14,3,24,110,1,19,4.6,7.9,1.7,11.0,9.0,84.0,9.3,0.0,15.0,0.6,6.0,194,1,0
128,Ja,NWE,23.0,rb,14,1,22,56,2,8,2.5,4.0,1.6,54.0,40.0,410.0,10.3,4.0,68.0,2.9,29.3,466,6,0
129,Anth,BUF,28.0,rb,16,1,21,44,1,6,2.1,2.8,1.3,7.0,6.0,44.0,7.3,0.0,14.0,0.4,2.8,88,1,0
130,Steve,NWE,32.0,rb,2,1,21,50,1,7,2.4,25.0,10.5,1.0,1.0,20.0,20.0,0.0,20.0,0.5,10.0,70,1,0
131,Brock,DEN,25.0,qb,8,7,21,61,1,8,2.9,7.6,2.6,,,,,,,,,61,1,4
