Rk,Name,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,Lng.1,R/G,Y/G.1,YScm,RRTD,Fmb
132,Tob,JAX,28.0,rb,7,1,20,44,0,6,2.2,6.3,2.9,5.0,3.0,23.0,7.7,0.0,8.0,0.4,3.3,67,0,0
133,El,NYG,34.0,QB,16,16,20,61,0,18,3.1,3.8,1.3,,,,,,,,,61,0,11
134,Jo,CLE,36.0,QB,8,8,20,98,1,13,4.9,12.3,2.5,,,,,,,,,98,1,9
135,Mic,PIT,35.0,qb,5,3,20,99,0,24,5.0,19.8,4.0,,,,,,,,,99,0,2
136,Jarv,MIA,23.0,WR,16,14,18,113,1,22,6.3,7.1,1.1,166.0,110.0,1157.0,10.5,4.0,50.0,6.9,72.3,1270,5,1
137,Juwan,DEN,23.0,fb,15,1,18,48,0,12,2.7,3.2,1.2,9.0,6.0,51.0,8.5,0.0,16.0,0.4,3.4,99,0,0
138,Fitzgerald ,PIT,25.0,,5,0,18,42,0,7,2.3,8.4,3.6,,,,,,,,,42,0,0
139,N,STL,26.0,QB,11,11,17,20,1,10,1.2,1.8,1.5,,,,,,,,,20,1,5
140,Jar,SFO,27.0,rb,8,1,17,52,0,11,3.1,6.5,2.1,7.0,6.0,27.0,4.5,0.0,7.0,0.8,3.4,79,0,3
141,,OAK,27.0,,9,0,17,39,0,12,2.3,4.3,1.9,16.0,9.0,75.0,8.3,1.0,15.0,1.0,8.3,114,1,0
142,A,HOU,22.0,rb,7,1,17,96,0,25,5.6,13.7,2.4,10.0,6.0,39.0,6.5,0.0,27.0,0.9,5.6,135,0,0
143,,BUF,25.0,qb,7,2,17,64,1,16,3.8,9.1,2.4,,,,,,,,,64,1,2
144,Phil,SDG,34.0,QB,16,16,17,28,0,8,1.6,1.8,1.1,,,,,,,,,28,0,4
145,Josh,IND,23.0,,5,0,17,39,0,8,2.3,7.8,3.4,6.0,6.0,33.0,5.5,0.0,9.0,1.2,6.6,72,0,1
146,Stepf,ARI,24.0,,16,0,17,58,0,16,3.4,3.6,1.1,3.0,1.0,4.0,4.0,0.0,4.0,0.1,0.3,62,0,0
147,Za,DET,24.0,rb,6,1,17,60,0,12,3.5,10.0,2.8,3.0,2.0,11.0,5.5,0.0,7.0,0.3,1.8,71,0,0
148,Kendal,SFO,25.0,,9,0,16,38,0,14,2.4,4.2,1.8,10.0,8.0,69.0,8.6,0.0,16.0,0.9,7.7,107,0,0
149,Matt H,IND,40.0,QB,8,8,16,15,0,10,0.9,1.9,2.0,,,,,,,,,15,0,3
150,Tai,OAK,27.0,,12,0,16,74,0,19,4.6,6.2,1.3,9.0,7.0,106.0,15.1,1.0,59.0,0.6,8.8,180,1,2
151,Brand,2TM,32.0,,6,4,16,47,1,11,2.9,7.8,2.7,,,,,,,,,47,1,2
152,Damien,MIA,23.0,,16,0,16,59,0,19,3.7,3.7,1.0,28.0,21.0,142.0,6.8,1.0,23.0,1.3,8.9,201,1,2
153,Ma,2TM,33.0,,10,8,15,78,0,24,5.2,7.8,1.5,,,,,,,,,78,0,4
154,Br,HOU,30.0,QB,11,9,15,44,0,15,2.9,4.0,1.4,,,,,,,,,44,0,6
155,Jo,NWE,24.0,,2,0,15,51,0,15,3.4,25.5,7.5,,,,,,,,,51,0,0
156,Ben Roeth,PIT,33.0,QB,12,11,15,29,0,13,1.9,2.4,1.3,0.0,0.0,-3.0,,0.0,0.0,0.0,-0.3,26,0,2
157,Pier,2TM,31.0,,5,0,15,64,0,11,4.3,12.8,3.0,11.0,9.0,84.0,9.3,0.0,15.0,1.8,16.8,148,0,0
158,A.J.,CIN,25.0,qb,7,3,14,31,0,16,2.2,4.4,2.0,,,,,,,,,31,0,1
159,Jacquiz,CHI,25.0,,5,0,14,41,0,5,2.9,8.2,2.8,3.0,1.0,10.0,10.0,0.0,10.0,0.2,2.0,51,0,0
160,Ran,GNB,25.0,WR,16,15,13,50,0,12,3.8,3.1,0.8,129.0,79.0,829.0,10.5,6.0,53.0,4.9,51.8,879,6,1
161,J,BAL,30.0,QB,10,10,13,23,3,16,1.8,2.3,1.3,,,,,,,,,23,3,5
162,Dre,ARI,31.0,,7,0,13,-13,0,-1,-1.0,-1.9,1.9,,,,,,,,,-13,0,0
163,Lorenzo T,BAL,24.0,,3,0,13,47,1,7,3.6,15.7,4.3,5.0,5.0,29.0,5.8,0.0,11.0,1.7,9.7,76,1,0
164,Ca,STL,27.0,qb,6,5,12,5,0,4,0.4,0.8,2.0,,,,,,,,,5,0,3
165,Trava,3TM,26.0,,7,1,11,28,0,6,2.5,4.0,1.6,22.0,17.0,214.0,12.6,1.0,44.0,2.4,30.6,242,1,1
166,Jimm,2TM,28.0,,5,3,11,36,0,11,3.3,7.2,2.2,,,,,,,,,36,0,1
167,Mar,OAK,30.0,fb/te,15,7,10,36,0,12,3.6,2.4,0.7,37.0,30.0,269.0,9.0,3.0,55.0,2.0,17.9,305,3,0
168,Moh,CIN,26.0,wr,16,4,10,71,2,25,7.1,4.4,0.6,49.0,33.0,394.0,11.9,0.0,52.0,2.1,24.6,465,2,2
169,Cec,HOU,28.0,wr,11,4,10,47,0,12,4.7,4.3,0.9,75.0,42.0,484.0,11.5,2.0,42.0,3.8,44.0,531,2,2
170,Lucky ,DAL,23.0,wr,15,1,10,107,0,33,10.7,7.1,0.7,8.0,6.0,16.0,2.7,0.0,8.0,0.4,1.1,123,0,1
171,John,GNB,23.0,,2,0,9,21,0,12,2.3,10.5,4.5,,,,,,,,,21,0,0
172,,GNB,33.0,fb,16,6,9,28,2,5,3.1,1.8,0.6,10.0,6.0,56.0,9.3,0.0,19.0,0.4,3.5,84,2,0
173,Zach Met,TEN,24.0,qb,7,4,9,8,1,5,0.9,1.1,1.3,,,,,,,,,8,1,4
174,De'Antho,KAN,22.0,wr,10,1,9,34,1,13,3.8,3.4,0.9,25.0,17.0,140.0,8.2,1.0,36.0,1.7,14.0,174,2,2
175,Re,SFO,30.0,rb,5,1,8,28,0,9,3.5,5.6,1.6,10.0,4.0,19.0,4.8,0.0,8.0,0.8,3.8,47,0,0
176,Derric,SEA,25.0,fb/rb,14,3,8,32,0,19,4.0,2.3,0.6,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,32,0,0
177,Bran,NOR,22.0,WR,16,13,8,18,0,11,2.3,1.1,0.5,129.0,84.0,1138.0,13.5,9.0,71.0,5.3,71.1,1156,9,1
178,Jos,IND,27.0,qb,1,1,8,24,0,9,3.0,24.0,8.0,,,,,,,,,24,0,0
179,Tarvari,SEA,32.0,,4,0,8,-8,0,-1,-1.0,-2.0,2.0,,,,,,,,,-8,0,0
180,Derek,CAR,32.0,,3,0,7,-2,0,2,-0.3,-0.7,2.3,,,,,,,,,-2,0,1
181,Aus,CLE,26.0,qb,3,2,7,33,0,17,4.7,11.0,2.3,,,,,,,,,33,0,2
182,Jalst,TEN,25.0,,16,0,7,13,1,3,1.9,0.8,0.4,6.0,5.0,44.0,8.8,1.0,19.0,0.3,2.8,57,2,0
183,Co,CAR,24.0,WR,14,11,6,38,0,14,6.3,2.7,0.4,54.0,31.0,447.0,14.4,4.0,39.0,2.2,31.9,485,4,0
184,B.J,2TM,26.0,,8,0,6,6,0,6,1.0,0.8,0.8,2.0,2.0,18.0,9.0,0.0,12.0,0.3,2.3,24,0,0
185,Co,JAX,24.0,,6,0,6,2,0,11,0.3,0.3,1.0,3.0,2.0,13.0,6.5,0.0,8.0,0.3,2.2,15,0,1
186,,MIN,25.0,fb/te,16,5,6,10,2,3,1.7,0.6,0.4,9.0,6.0,95.0,15.8,1.0,49.0,0.4,5.9,105,3,0
187,Peyto,DEN,39.0,QB,10,9,6,-6,0,-1,-1.0,-0.6,0.6,,,,,,,,,-6,0,1
188,Bru,SFO,28.0,fb,16,5,6,14,1,4,2.3,0.9,0.4,14.0,10.0,135.0,13.5,0.0,52.0,0.6,8.4,149,1,0
189,Berna,JAX,24.0,,7,0,6,11,0,4,1.8,1.6,0.9,5.0,3.0,7.0,2.3,0.0,6.0,0.4,1.0,18,0,0
190,J,HOU,23.0,fb,16,2,6,33,0,16,5.5,2.1,0.4,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,33,0,0
191,Mar,PHI,29.0,qb,4,2,6,22,0,11,3.7,5.5,1.5,,,,,,,,,22,0,1
192,Go,DET,27.0,WR,16,16,6,41,0,15,6.8,2.6,0.4,128.0,90.0,813.0,9.0,6.0,43.0,5.6,50.8,854,6,1
193,T,HOU,28.0,qb,4,2,6,0,0,7,0.0,0.0,1.5,,,,,,,,,0,0,1
194,Dar,WAS,28.0,fb,16,3,6,10,0,5,1.7,0.6,0.4,6.0,6.0,22.0,3.7,0.0,8.0,0.4,1.4,32,0,1
195,Martav,PIT,24.0,wr,11,5,5,37,1,13,7.4,3.4,0.5,92.0,50.0,765.0,15.3,6.0,88.0,4.5,69.5,802,7,1
196,Lan,DAL,25.0,,4,0,5,67,0,45,13.4,16.8,1.3,23.0,21.0,215.0,10.2,0.0,39.0,5.3,53.8,282,0,0
197,Jimmy ,NWE,24.0,,5,0,5,-5,0,-1,-1.0,-1.0,1.0,,,,,,,,,-5,0,0
198,Per,BUF,27.0,wr,5,5,5,31,0,9,6.2,6.2,1.0,30.0,19.0,218.0,11.5,1.0,51.0,3.8,43.6,249,1,1
199,Lan,PIT,26.0,qb,7,2,5,-5,0,0,-1.0,-0.7,0.7,,,,,,,,,-5,0,1
200,Mar,CIN,25.0,rb/WR,16,13,5,33,0,30,6.6,2.1,0.3,103.0,65.0,816.0,12.6,4.0,47.0,4.1,51.0,849,4,0
201,Ma,JAX,24.0,wr,10,1,5,38,0,12,7.6,3.8,0.5,32.0,15.0,191.0,12.7,1.0,30.0,1.5,19.1,229,1,0
202,Tyler,SEA,23.0,fb/wr,16,8,5,20,0,8,4.0,1.3,0.3,69.0,51.0,664.0,13.0,6.0,49.0,3.2,41.5,684,6,1
203,Rya,2TM,27.0,,8,6,5,15,1,6,3.0,1.9,0.6,,,,,,,,,15,1,0
204,Bob,TAM,28.0,,16,0,5,18,0,7,3.6,1.1,0.3,3.0,3.0,16.0,5.3,0.0,8.0,0.2,1.0,34,0,8
205,Zurl,IND,25.0,,10,0,5,20,0,7,4.0,2.0,0.5,8.0,5.0,57.0,11.4,0.0,27.0,0.5,5.7,77,0,0
206,Albe,KAN,23.0,WR,14,12,5,26,0,8,5.2,1.9,0.4,57.0,35.0,451.0,12.9,2.0,44.0,2.5,32.2,477,2,0
207,Kenda,TEN,26.0,WR,10,9,5,17,0,13,3.4,1.7,0.5,60.0,36.0,408.0,11.3,3.0,52.0,3.6,40.8,425,3,0
208,Travis,CLE,26.0,WR,16,15,4,12,0,10,3.0,0.8,0.3,125.0,68.0,966.0,14.2,5.0,61.0,4.3,60.4,978,5,3
209,Malc,STL,,,1,0,4,17,0,13,4.3,17.0,4.0,1.0,1.0,-2.0,-2.0,0.0,-2.0,1.0,-2.0,15,0,0
210,Rex,CIN,25.0,,16,0,4,4,0,2,1.0,0.3,0.3,15.0,10.0,94.0,9.4,1.0,27.0,0.6,5.9,98,1,1
211,Micha,DET,23.0,fb/te,16,7,4,2,0,2,0.5,0.1,0.3,6.0,6.0,39.0,6.5,1.0,12.0,0.4,2.4,41,1,0
212,,CAR,30.0,WR,15,13,4,60,0,43,15.0,4.0,0.3,97.0,44.0,739.0,16.8,10.0,74.0,2.9,49.3,799,10,0
213,Chr,2TM,26.0,,15,6,4,18,0,24,4.5,1.2,0.3,54.0,20.0,353.0,17.7,1.0,48.0,1.3,23.5,371,1,0
214,Alon,GNB,23.0,,6,0,4,19,0,16,4.8,3.2,0.7,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,19,0,0
215,S,MIN,35.0,,3,0,4,-5,0,-1,-1.3,-1.7,1.3,,,,,,,,,-5,0,0
216,Austi,NOR,26.0,fb,10,1,4,9,1,4,2.3,0.9,0.4,8.0,5.0,30.0,6.0,0.0,12.0,0.5,3.0,39,1,0
217,Wil,PIT,26.0,fb,16,4,4,7,1,6,1.8,0.4,0.3,4.0,2.0,16.0,8.0,0.0,11.0,0.1,1.0,23,1,0
218,,DAL,35.0,qb,4,4,4,13,0,12,3.3,3.3,1.0,,,,,,,,,13,0,1
219,Ma,BAL,34.0,qb,2,2,4,10,0,7,2.5,5.0,2.0,,,,,,,,,10,0,0
220,Ada,MIN,25.0,wr,16,2,4,89,0,41,22.3,5.6,0.3,18.0,12.0,144.0,12.0,0.0,30.0,0.8,9.0,233,0,0
221,Jord,PIT,25.0,,11,0,4,22,0,11,5.5,2.0,0.4,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,22,0,0
222,Wil,SEA,31.0,fb,14,1,4,1,1,4,0.3,0.1,0.3,1.0,1.0,7.0,7.0,1.0,7.0,0.1,0.5,8,2,1
223,Ge,DET,25.0,,7,0,4,1,0,2,0.3,0.1,0.6,,,,,,,,,1,0,0
224,Anton,PIT,27.0,WR,16,16,3,28,0,16,9.3,1.8,0.2,193.0,136.0,1834.0,13.5,10.0,59.0,8.5,114.6,1862,10,3
225,J,ARI,25.0,WR,15,11,3,22,0,13,7.3,1.5,0.2,101.0,65.0,1003.0,15.4,7.0,68.0,4.3,66.9,1025,7,1
226,Ama,OAK,21.0,WR,16,15,3,-3,0,2,-1.0,-0.2,0.2,130.0,72.0,1070.0,14.9,6.0,68.0,4.5,66.9,1067,6,1
227,Ste,MIN,22.0,WR,13,9,3,13,0,10,4.3,1.0,0.2,84.0,52.0,720.0,13.8,4.0,40.0,4.0,55.4,733,4,2
228,Philli,IND,22.0,,11,0,3,17,0,11,5.7,1.5,0.3,39.0,18.0,225.0,12.5,1.0,35.0,1.6,20.5,242,1,2
229,Julia,NWE,29.0,WR,9,9,3,23,0,12,7.7,2.6,0.3,88.0,61.0,692.0,11.3,7.0,59.0,6.8,76.9,715,7,1
230,Jere,KAN,27.0,WR,15,15,3,14,0,18,4.7,0.9,0.2,124.0,87.0,1088.0,12.5,8.0,61.0,5.8,72.5,1102,8,2
231,C,WAS,29.0,,1,0,3,-3,0,-1,-1.0,-3.0,3.0,,,,,,,,,-3,0,1
232,Ty M,GNB,22.0,wr,6,3,3,14,0,9,4.7,2.3,0.5,19.0,15.0,136.0,9.1,2.0,31.0,2.5,22.7,150,2,0
233,M,MIA,31.0,,1,0,3,-2,0,0,-0.7,-2.0,3.0,,,,,,,,,-2,0,0
234,Emmanue,DEN,28.0,WR,15,15,3,29,0,24,9.7,1.9,0.2,136.0,76.0,1135.0,14.9,6.0,75.0,5.1,75.7,1164,6,2
235,Scot,GNB,28.0,,3,0,3,-3,0,0,-1.0,-1.0,1.0,,,,,,,,,-3,0,1
236,Isa Abd,DET,26.0,s/ss,16,8,2,34,0,30,17.0,2.1,0.1,,,,,,,,,34,0,0
237,Danny,NWE,30.0,wr,14,7,2,11,0,8,5.5,0.8,0.1,87.0,65.0,648.0,10.0,3.0,41.0,4.6,46.3,659,3,1
238,Tomm,NYJ,25.0,fb,16,4,2,2,0,2,1.0,0.1,0.1,8.0,4.0,56.0,14.0,0.0,23.0,0.3,3.5,58,0,0
239,Michael ,BAL,24.0,,4,0,2,17,1,9,8.5,4.3,0.5,6.0,5.0,35.0,7.0,0.0,11.0,1.3,8.8,52,1,0
240,Jamiso,WAS,22.0,fb/wr,16,6,2,2,0,2,1.0,0.1,0.1,78.0,59.0,604.0,10.2,2.0,44.0,3.7,37.8,606,2,4
241,Cha,KAN,29.0,,2,0,2,-2,0,-1,-1.0,-1.0,1.0,,,,,,,,,-2,0,0
242,Dway,NYG,28.0,fb/wr,15,6,2,12,0,11,6.0,0.8,0.1,57.0,36.0,396.0,11.0,4.0,38.0,2.4,26.4,408,4,3
243,Davi,SDG,28.0,te,16,4,2,4,0,2,2.0,0.3,0.1,2.0,1.0,4.0,4.0,0.0,4.0,0.1,0.3,8,0,1
244,Kyle,BAL,24.0,FB,16,11,2,3,0,2,1.5,0.2,0.1,56.0,41.0,321.0,7.8,4.0,39.0,2.6,20.1,324,4,0
245,Brand,NWE,29.0,wr,11,7,2,9,0,9,4.5,0.8,0.2,74.0,37.0,515.0,13.9,0.0,54.0,3.4,46.8,524,0,0
246,Cod,DEN,23.0,wr,14,1,2,1,0,5,0.5,0.1,0.1,11.0,6.0,59.0,9.8,1.0,15.0,0.4,4.2,60,1,0
247,Terra,BAL,,,3,0,2,5,0,4,2.5,1.7,0.7,1.0,1.0,2.0,2.0,0.0,2.0,0.3,0.7,7,0,0
248,Kel,DAL,26.0,qb,3,2,2,-1,0,0,-0.5,-0.3,0.7,,,,,,,,,-1,0,1
249,Cordarrelle ,MIN,24.0,wr,16,1,2,15,0,9,7.5,0.9,0.1,2.0,2.0,10.0,5.0,0.0,9.0,0.1,0.6,25,0,1
250,Is,STL,26.0,,2,0,2,3,0,4,1.5,1.5,1.0,,,,,,,,,3,0,1
251,G,NYJ,25.0,,1,0,2,34,0,29,17.0,34.0,2.0,,,,,,,,,34,0,0
252,,2TM,,,11,0,2,5,0,3,2.5,0.5,0.2,2.0,1.0,6.0,6.0,0.0,6.0,0.1,0.5,11,0,0
253,Charlie W,2TM,33.0,,5,0,2,1,0,2,0.5,0.2,0.4,,,,,,,,,1,0,0
254,Trey,IND,23.0,,2,0,2,12,0,12,6.0,6.0,1.0,,,,,,,,,12,0,0
255,Ci,BUF,24.0,,2,0,2,3,0,0,1.5,1.5,1.0,1.0,1.0,-6.0,-6.0,0.0,-6.0,0.5,-3.0,-3,0,0
256,Dwa,IND,25.0,TE,13,12,1,1,0,1,1.0,0.1,0.1,29.0,16.0,109.0,6.8,1.0,21.0,1.2,8.4,110,1,0
257,Tys,JAX,28.0,DT,16,14,1,0,0,0,0.0,0.0,0.1,3.0,2.0,19.0,9.5,0.0,16.0,0.1,1.2,19,0,0
258,Colt,IND,30.0,ss,14,1,1,-1,0,-1,-1.0,-0.1,0.1,,,,,,,,,-1,0,0
259,Odel,NYG,23.0,WR,15,15,1,3,0,3,3.0,0.2,0.1,158.0,96.0,1450.0,15.1,13.0,87.0,6.4,96.7,1453,13,2
260,Andre,DEN,30.0,,14,0,1,3,0,3,3.0,0.2,0.1,22.0,10.0,72.0,7.2,2.0,24.0,0.7,5.1,75,2,0
261,Kelle,SDG,32.0,,2,0,1,-1,0,-1,-1.0,-0.5,0.5,,,,,,,,,-1,0,0
262,Jerricho,CAR,33.0,wr,14,3,1,16,0,16,16.0,1.1,0.1,54.0,39.0,485.0,12.4,3.0,59.0,2.8,34.6,501,3,0
263,Patric,ATL,26.0,fb/rb,16,8,1,0,0,0,0.0,0.0,0.1,17.0,13.0,110.0,8.5,2.0,19.0,0.8,6.9,110,2,0
264,Harr,TEN,31.0,WR,14,12,1,-6,0,-6,-6.0,-0.4,0.1,72.0,36.0,411.0,11.4,2.0,51.0,2.6,29.4,405,2,2
265,Bruce ,SFO,24.0,,13,0,1,7,0,7,7.0,0.5,0.1,19.0,13.0,153.0,11.8,0.0,44.0,1.0,11.8,160,0,3
266,Jero,BUF,29.0,FB,16,8,1,2,0,2,2.0,0.1,0.1,2.0,1.0,12.0,12.0,0.0,12.0,0.1,0.8,14,0,0
267,J,DAL,24.0,s,16,1,1,2,0,2,2.0,0.1,0.1,,,,,,,,,2,0,0
268,Javonte,SDG,24.0,wr,8,2,1,13,0,13,13.0,1.6,0.1,33.0,24.0,195.0,8.1,0.0,21.0,3.0,24.4,208,0,2
269,Ch,BUF,27.0,wr,16,4,1,4,0,4,4.0,0.3,0.1,59.0,36.0,450.0,12.5,2.0,46.0,2.3,28.1,454,2,0
270,Michael Hoo,2TM,27.0,,14,8,1,0,0,0,0.0,0.0,0.1,16.0,11.0,76.0,6.9,3.0,19.0,0.8,5.4,76,3,1
271,Kenda,NOR,27.0,,2,0,1,2,0,2,2.0,1.0,0.5,,,,,,,,,2,0,0
272,Damari,NWE,26.0,,1,0,1,6,0,6,6.0,6.0,1.0,,,,,,,,,6,0,0
273,T,DET,23.0,,10,0,1,-3,0,-3,-3.0,-0.3,0.1,18.0,10.0,132.0,13.2,1.0,29.0,1.0,13.2,129,1,2
274,,BAL,33.0,p,16,0,1,7,0,7,7.0,0.4,0.1,,,,,,,,,7,0,0
275,Jorvor,TAM,28.0,fb,16,6,1,0,0,0,0.0,0.0,0.1,2.0,2.0,13.0,6.5,0.0,8.0,0.1,0.8,13,0,0
276,Antho,BAL,28.0,,16,0,1,3,0,3,3.0,0.2,0.1,,,,,,,,,3,0,1
277,J,MIN,26.0,p,16,0,1,-6,0,-6,-6.0,-0.4,0.1,,,,,,,,,-6,0,0
278,Kesha,NWE,25.0,WR,9,8,1,6,0,6,6.0,0.7,0.1,37.0,24.0,269.0,11.2,2.0,39.0,2.7,29.9,275,2,1
279,Ti,GNB,28.0,p,16,0,1,7,0,7,7.0,0.4,0.1,,,,,,,,,7,0,0
280,Rishard,MIA,26.0,WR,11,11,1,4,0,4,4.0,0.4,0.1,61.0,43.0,662.0,15.4,4.0,53.0,3.9,60.2,666,4,0
